"","G.Local","G.Visit","Probabilidad"
"1","0","0",0.0780701754385965
"2","1","0",0.115789473684211
"3","2","0",0.087719298245614
"4","3","0",0.0447368421052632
"5","4","0",0.0140350877192982
"6","5","0",0.0087719298245614
"7","6","0",0.00263157894736842
"8","7","0",0
"9","8","0",0
"10","0","1",0.0807017543859649
"11","1","1",0.114912280701754
"12","2","1",0.093859649122807
"13","3","1",0.0324561403508772
"14","4","1",0.0105263157894737
"15","5","1",0.00526315789473684
"16","6","1",0.00175438596491228
"17","7","1",0.00087719298245614
"18","8","1",0
"19","0","2",0.0456140350877193
"20","1","2",0.068421052631579
"21","2","2",0.0614035087719298
"22","3","2",0.0245614035087719
"23","4","2",0.00701754385964912
"24","5","2",0.0043859649122807
"25","6","2",0
"26","7","2",0
"27","8","2",0.00087719298245614
"28","0","3",0.0184210526315789
"29","1","3",0.0175438596491228
"30","2","3",0.0114035087719298
"31","3","3",0.00614035087719298
"32","4","3",0
"33","5","3",0
"34","6","3",0.00087719298245614
"35","7","3",0
"36","8","3",0
"37","0","4",0.00526315789473684
"38","1","4",0.0087719298245614
"39","2","4",0.0087719298245614
"40","3","4",0.00175438596491228
"41","4","4",0.00350877192982456
"42","5","4",0.00087719298245614
"43","6","4",0
"44","7","4",0
"45","8","4",0
"46","0","5",0.0043859649122807
"47","1","5",0.00175438596491228
"48","2","5",0.00175438596491228
"49","3","5",0.00175438596491228
"50","4","5",0
"51","5","5",0
"52","6","5",0
"53","7","5",0
"54","8","5",0
"55","0","6",0
"56","1","6",0
"57","2","6",0.00175438596491228
"58","3","6",0.00087719298245614
"59","4","6",0
"60","5","6",0
"61","6","6",0
"62","7","6",0
"63","8","6",0
